,category,links,news
0,political,https://en.setopati.com/political/161336,"
The proposal of Bam Dev Gautam, who has formed CPN (Unity National Campaign), to rejoin CPN-UML has got stuck.
Gautam, who seems enthusiastic after the main opposition party removed the age limit of 70 years for executive committees, had reached UML office Chyasal and met Chairman KP Sharma Oli on June 18 and expressed his wish to rejoin the party.
Gautam, who has claimed that he can help UML expand its party membership to six million, had also briefed Oli about his preliminary concept of achieving socialism with Nepali characteristics during the meeting.
But UML seems lukewarm to his proposal. I had gone with the proposal of unification. I had cordial and open talks with Oli. He had said that we should unite, and invited me, Gautam told Setopati. But they have not got back to me now. They have not even called me.
He stated that he had told Oli that he would return with party cadres and asked what role he would be given. But he did not give solid answers. He only said I should join the party. He said that he alone could not give responsibilities and party committees should take decision. We have not had additional discussion after that.
There were also talks about him joining the Socialist Front announced by CPN (Maoist Center), CPN (Unified Socialist), Janata Samajwadi Party (JSP) and CPN led by Netra Bikram Chand. Nobody has come to me to talk about Socialist Front.
Prime Minister (PM) Pushpa Kamal Dahal has been talking about reviving CPN formed after unification of Maoist Center and UML.
Gautam has also been working toward that. I am always for unification. I have no doubts that the socialist movement would not succeed until communist parties unite. Not just UML but all including Maoist Center and Unified Socialist should, therefore, unite. These three parties should first unify and other parties should be brought along. That is my aim. I would work on that as long as Im alive.
UML Vice-chairman Bishnu Paudel confirmed with Setopati that Gautams proposal had not moved forward.
Gautam, who is currently National Assembly member having won the election on the ticket of the then CPN after losing from Bardiya in the general election of 2017 on a UML ticket, had quit UML on September 3, 2021 accusing Oli of defying constitutional supremacy and the rule of law in his resignation letter and slammed him for twice dissolving the House with utter disregard to the people's mandate.
He had also split UML in 1997 to form CPN-ML and returned back to the party four years later. He was accused of returning back to UML losing a big chunk of the partys cadres to the Maoists who were waging an armed insurgency then.
Gautam, who was elected UML vice-chairman in the eighth and the ninth general conventions, still harbors hopes for the post of chairman. 
Many UML leaders are against him rejoining the party citing his unstable and opportunist nature, and high ambitions.
Gautam laid groundwork for split of UML. Why bring him in UML? What can Gautam, who spent his age and energy to weaken the UML movement, do joining the party in the late stage of his life? a UML leader fumed."
1,political,https://en.setopati.com/political/161336,"
The proposal of Bam Dev Gautam, who has formed CPN (Unity National Campaign), to rejoin CPN-UML has got stuck.
Gautam, who seems enthusiastic after the main opposition party removed the age limit of 70 years for executive committees, had reached UML office Chyasal and met Chairman KP Sharma Oli on June 18 and expressed his wish to rejoin the party.
Gautam, who has claimed that he can help UML expand its party membership to six million, had also briefed Oli about his preliminary concept of achieving socialism with Nepali characteristics during the meeting.
But UML seems lukewarm to his proposal. I had gone with the proposal of unification. I had cordial and open talks with Oli. He had said that we should unite, and invited me, Gautam told Setopati. But they have not got back to me now. They have not even called me.
He stated that he had told Oli that he would return with party cadres and asked what role he would be given. But he did not give solid answers. He only said I should join the party. He said that he alone could not give responsibilities and party committees should take decision. We have not had additional discussion after that.
There were also talks about him joining the Socialist Front announced by CPN (Maoist Center), CPN (Unified Socialist), Janata Samajwadi Party (JSP) and CPN led by Netra Bikram Chand. Nobody has come to me to talk about Socialist Front.
Prime Minister (PM) Pushpa Kamal Dahal has been talking about reviving CPN formed after unification of Maoist Center and UML.
Gautam has also been working toward that. I am always for unification. I have no doubts that the socialist movement would not succeed until communist parties unite. Not just UML but all including Maoist Center and Unified Socialist should, therefore, unite. These three parties should first unify and other parties should be brought along. That is my aim. I would work on that as long as Im alive.
UML Vice-chairman Bishnu Paudel confirmed with Setopati that Gautams proposal had not moved forward.
Gautam, who is currently National Assembly member having won the election on the ticket of the then CPN after losing from Bardiya in the general election of 2017 on a UML ticket, had quit UML on September 3, 2021 accusing Oli of defying constitutional supremacy and the rule of law in his resignation letter and slammed him for twice dissolving the House with utter disregard to the people's mandate.
He had also split UML in 1997 to form CPN-ML and returned back to the party four years later. He was accused of returning back to UML losing a big chunk of the partys cadres to the Maoists who were waging an armed insurgency then.
Gautam, who was elected UML vice-chairman in the eighth and the ninth general conventions, still harbors hopes for the post of chairman. 
Many UML leaders are against him rejoining the party citing his unstable and opportunist nature, and high ambitions.
Gautam laid groundwork for split of UML. Why bring him in UML? What can Gautam, who spent his age and energy to weaken the UML movement, do joining the party in the late stage of his life? a UML leader fumed."
2,political,https://en.setopati.com/political/161368,"
The Supreme Court did not hear the petition filed against the formation of the new Koshi government due to lack of time on Sunday.
A single bench of Justice Ananda Mohan Bhattarai was scheduled to hear the petition, which was listed as the 10th case to be heard by the bench on Sunday.
Nepali Congress parliamentary party leader Uddhav Thapa was appointed the new chief minister of Koshi province on Thursday with the support of 47 lawmakers from the ruling coalition -- 29 from NC, 13 including Koshi provincial assembly Speaker Baburam Gautam from CPN (Maoist Center), four from CPN (Unified Socialist) and one from Janata Samajwadi Party.
CPN-UML had then moved the Supreme Court against the government formation on Friday saying it was against the Constitution for the speaker to support a claim for the post of chief minister.
UML has sought a mandamus to annul the government formation and to pave the way for a new provincial government under its leadership."
3,political,https://en.setopati.com/political/161365,"
The voice in an audio recording linking Nepali Congress lawmaker Arzu Rana Deuba with the fake Bhutanese refugees scam has been found to match that of Sandesh Sharma.
The 34-year-old Sharma, who hails from Tulsipur Sub-metropolitan City-16, Dang, is currently in custody. The District Police Range, Teku, is investigating him on charges of fraud and organized crime.
Rana had filed a complaint with the Cyber Bureau of Nepal Police demanding an investigation into the audio recording, which she claimed to be fake.
In a letter to the applicant made public on Sunday, Deputy Inspector General Kuber Kadayat at the Nepal Police Headquarters has stated that the voice in the audio recording matched Sharmas.
Kadayat has said in the letter that they had written to TikTok Singapore for information on where and from whom the audio had originated but that they had yet to receive further details.
Kadayat told Setopati that they wrote to Rana as she had submitted an application inquiring about the progress being made on her earlier application lodged with the Cyber Bureau. He added that they do not know how the letter was made public.
On May 7, Setopati had reported that an audio recording claiming that money was paid to Rana and Manju Khand in the fake Bhutanese refugees scam had been made public.
The audio recording of one minute and three seconds purportedly between a member of the racket involved in the scam and a victim claims that Rana and Khandboth Nepali Congress (NC) lawmakers and wives of NC President Sher Bahadur Deuba and NC leader and former home minister Bal Krishna Khand, respectivelywere also paid by the racket. The recording claims that Rana was paid Rs 25 million and Khand Rs 60 million.
Rana had then lodged a complaint with the Cyber Bureau of Nepal Police on May 10 demanding an investigation into the audio recording and action against the culprits."
4,political,https://en.setopati.com/political/161364,"
The three major parties have agreed to end the House obstruction.
Prime Minister Pushpa Kamal Dahal, Nepali Congress President Sher Bahadur Deuba and CPN-UML Chairman KP Sharma Oli had met at the Singha Durbar for a discussion on Sunday morning.
According to the prime ministers secretariat, UML has agreed to end the House obstruction after the discussion.
UML has become ready to end the obstruction. The prime minister will address Parliament, the prime ministers secretariat said.
Rastriya Swatantra Party (RSP) and Rastriya Prajatantra Party (RPP) had also been protesting against the prime ministers controversial remarks at a book launch event on Monday. RSP had sought an answer from the prime minister while RPP had called for his resignation.
House of Representatives Speaker Dev Raj Ghimire is holding discussion with the whips and chief whips of the five parties on ending the House obstruction, according to his press advisor Shekhar Adhikari."
5,political,https://en.setopati.com/political/161363,"
Chief Minister of Koshi province Uddhav Thapa has appointed three more ministers to his Cabinet.
Province chief Parshuram Khapung administered the oath of office and secrecy to the newly appointed ministers Jeevan Acharya, Rajendra Karki and Ram Kumar Khatri on Sunday.
Acharya and Karki are from CPN (Maoist Center) while Khatri is from Nepali Congress.
Acharya has been appointed minister for economic affairs and planning, while the other two have not been assigned any ministries.
Chief Minister Thapa had appointed Pradeep Sunuwar of Nepali Congress and Kamal Jawegu of CPN (Unified Socialist) ministers without portfolio on Friday."
6,political,https://en.setopati.com/political/161362,"
Preliminary hearing on a petition challenging the formation of the new government in Koshi province as unconstitutional is scheduled to take place on Sunday.
According to the Supreme Court administration, hearing on the petition has been scheduled for 10 AM Sunday.
Hikmat Karki, the outgoing chief minister and CPN-UML parliamentary party leader in Koshi, moved the Supreme Court on Friday terming the process for formation of the new government in Koshi unconstitutional.
He has filed a petition at the apex court demanding revocation of province chief Parshuram Khapungs decision to appoint Nepali Congress parliamentary party leader Uddhav Thapa as chief minister.
Stating that the new government formed as per Article 168 (2) of the Constitutional was unconstitutional, Karki has demanded that the court revoke the decision to form the new government through a certiorari order and issue a mandamus to pave the way for formation of a new government as per Article 168 (3).
Karki has demanded a mandamus to appoint him chief minister as the leader of the largest party in the provincial assembly.
Thapa was appointed chief minister on Thursday with the support of 47 lawmakers from the ruling coalition -- 29 from NC, 13 including the speaker from CPN (Maoist Center), four from CPN (Unified Socialist) and one from Janata Samajwadi Party.
The coalition parties have a total of 47 votes, which constitutes a majority in the 93-member provincial assembly. However, Maoist Center also included Speaker Baburam Gautam's signature to achieve the required majority. While party leaders signatures would suffice while staking claim for government formation, theres still confusion over the speakers role during a floor test."
7,political,https://en.setopati.com/political/161361,"
The House of Representatives (HoR) meeting has been deferred till Sunday due to the standoff between the ruling parties and the main opposition CPN-UML over Prime Minister Pushpa Kamal Dahals remarks at a recent book launch event.
UML has remained adamant that it will not let the House meeting resume until PM Dahal resigns.
Speaker Dev Raj Ghimire had called a meeting of the Business Advisory Committee at the Singha Durbar on Friday afternoon to end the House obstruction, but the ruling parties and UML could not reach an agreement.
UML has said that there can be no agreement on anything except Dahals resignation, while the ruling parties have been saying that the prime minister should be allowed to give clarification in Parliament.
Ghimire proposed at the meeting that the two sides discuss the issue and reach an agreement by Saturday.
It is not good for bills, especially the one related to loan-sharking, to become inactive when Parliament is obstructed, Ghimires press coordinator Shekhar Adhikari quoted him as saying. You must arrive at a conclusion. I am ready to facilitate for that.
The House meeting was then postponed through a notice.
Speaking at a book launch event on Monday, PM Dahal had said that Sardar Pritam Singh had repeatedly visited Delhi to make him prime minister.
UML had obstructed the House meeting on Wednesday demanding Dahals resignation over his remarks. Lawmakers from Rastriya Swatantra Party and Rastriya Prajatantra Party had also joined in the protest by rising from their seats.
The bill to replace the ordinance became inactive on Wednesday as it could not be tabled in the HoR due to the obstruction."
8,political,https://en.setopati.com/political/161358,"
Uddhav Thapa has been sworn in as the new chief minister of Koshi province.
Province chief Parshuram Khapung administered the oath of office and secrecy to Thapa on Friday morning.
Thapa was appointed chief minister on Thursday with the support of lawmakers from Nepali Congress, CPN (Maoist Center), CPN (Unified Socialist) and Janata Samajwadi Party.
Thapas appointment has courted controversy as Baburam Gautam, speaker of Koshi provincial assembly, had also signed to make Thapa chief minister. Gautam is from Maoist Center.
Pradeep Sunuwar of NC and Kamal Jawegu of Unified Socialist have been sworn in as ministers without portfolio.
Maoist Center, however, could not send any ministers to the government on Friday. According to a Maoist Center leader, the party could not send the names of ministers as there were differences within the party over whether to repeat Jeevan Acharya as tourism minister or send a new minister. Acharya is the son-in-law of Prime Minister Pushpa Kamal Dahal.
Lawmaker Nirmala Limbu of JSP has not joined the government either."
9,political,https://en.setopati.com/political/161356,"
The government has said that Prime Minister Pushpa Kamal Dahal wont resign over his remarks at a recent book launch event.
Talking to journalists after announcing the Cabinets decisions on Thursday, government spokesperson and Minister for Communication and Information Technology Rekha Sharma said that the prime minister need not resign over the issue.
She said that the prime minister had not said anything wrong at the event.
Sharma said that there was no need to raise the issue in Parliament as it was unnecessary.
She also alleged that the replacement bill against loan sharking could not be passed from Parliament because of opposition parties."
